frame_index,timestamp,fov_width
0,1403715886.584058,22
0,1403715886.584058,22
0,1403715886.584058,22
0,1403715886.584058,22
0,1403715886.584058,22
0,1403715886.584058,22
0,1403715886.584058,22
0,1403715886.584058,22
0,1403715886.584058,22
0,1403715886.584058,22
1,1403715886.634058,22
1,1403715886.634058,22
1,1403715886.634058,22
1,1403715886.634058,22
1,1403715886.634058,22
1,1403715886.634058,22
1,1403715886.634058,22
1,1403715886.634058,22
1,1403715886.634058,22
1,1403715886.634058,22
2,1403715886.684058,22
2,1403715886.684058,22
2,1403715886.684058,22
2,1403715886.684058,22
2,1403715886.684058,22
2,1403715886.684058,22
2,1403715886.684058,22
2,1403715886.684058,22
2,1403715886.684058,22
2,1403715886.684058,22
3,1403715886.734058,22
3,1403715886.734058,22
3,1403715886.734058,22
3,1403715886.734058,22
3,1403715886.734058,22
3,1403715886.734058,22
3,1403715886.734058,22
3,1403715886.734058,22
3,1403715886.734058,22
3,1403715886.734058,22
4,1403715886.784058,22
4,1403715886.784058,22
4,1403715886.784058,22
4,1403715886.784058,22
4,1403715886.784058,22
4,1403715886.784058,22
4,1403715886.784058,22
4,1403715886.784058,22
4,1403715886.784058,22
4,1403715886.784058,22
5,1403715886.834058,22
5,1403715886.834058,22
5,1403715886.834058,22
5,1403715886.834058,22
5,1403715886.834058,22
5,1403715886.834058,22
5,1403715886.834058,22
5,1403715886.834058,22
5,1403715886.834058,22
5,1403715886.834058,22
6,1403715886.884058,22
6,1403715886.884058,22
6,1403715886.884058,22
6,1403715886.884058,22
6,1403715886.884058,22
6,1403715886.884058,22
6,1403715886.884058,22
6,1403715886.884058,22
6,1403715886.884058,22
6,1403715886.884058,22
7,1403715886.934058,22
7,1403715886.934058,22
7,1403715886.934058,22
7,1403715886.934058,22
7,1403715886.934058,22
7,1403715886.934058,22
7,1403715886.934058,22
7,1403715886.934058,22
7,1403715886.934058,22
7,1403715886.934058,22
8,1403715886.984058,22
8,1403715886.984058,22
8,1403715886.984058,22
8,1403715886.984058,22
8,1403715886.984058,22
8,1403715886.984058,22
8,1403715886.984058,22
8,1403715886.984058,22
8,1403715886.984058,22
8,1403715886.984058,22
9,1403715887.034058,22
9,1403715887.034058,22
9,1403715887.034058,22
9,1403715887.034058,22
9,1403715887.034058,22
9,1403715887.034058,22
9,1403715887.034058,22
9,1403715887.034058,22
9,1403715887.034058,22
9,1403715887.034058,22
10,1403715887.084058,22
10,1403715887.084058,22
10,1403715887.084058,22
10,1403715887.084058,22
10,1403715887.084058,22
10,1403715887.084058,22
10,1403715887.084058,22
10,1403715887.084058,22
10,1403715887.084058,22
10,1403715887.084058,22
11,1403715887.134058,22
11,1403715887.134058,22
11,1403715887.134058,22
11,1403715887.134058,22
11,1403715887.134058,22
11,1403715887.134058,22
11,1403715887.134058,22
11,1403715887.134058,22
11,1403715887.134058,22
11,1403715887.134058,22
12,1403715887.184058,22
12,1403715887.184058,22
12,1403715887.184058,22
12,1403715887.184058,22
12,1403715887.184058,22
12,1403715887.184058,22
12,1403715887.184058,22
12,1403715887.184058,22
12,1403715887.184058,22
12,1403715887.184058,22
13,1403715887.234058,22
13,1403715887.234058,22
13,1403715887.234058,22
13,1403715887.234058,22
13,1403715887.234058,22
13,1403715887.234058,22
13,1403715887.234058,22
13,1403715887.234058,22
13,1403715887.234058,22
13,1403715887.234058,22
14,1403715887.284058,22
14,1403715887.284058,22
14,1403715887.284058,22
14,1403715887.284058,22
14,1403715887.284058,22
14,1403715887.284058,22
14,1403715887.284058,22
14,1403715887.284058,22
14,1403715887.284058,22
14,1403715887.284058,22
15,1403715887.334058,22
15,1403715887.334058,22
15,1403715887.334058,22
15,1403715887.334058,22
15,1403715887.334058,22
15,1403715887.334058,22
15,1403715887.334058,22
15,1403715887.334058,22
15,1403715887.334058,22
15,1403715887.334058,22
16,1403715887.384058,22
16,1403715887.384058,22
16,1403715887.384058,22
16,1403715887.384058,22
16,1403715887.384058,22
16,1403715887.384058,22
16,1403715887.384058,22
16,1403715887.384058,22
16,1403715887.384058,22
16,1403715887.384058,22
17,1403715887.434058,22
17,1403715887.434058,22
17,1403715887.434058,22
17,1403715887.434058,22
17,1403715887.434058,22
17,1403715887.434058,22
17,1403715887.434058,22
17,1403715887.434058,22
17,1403715887.434058,22
17,1403715887.434058,22
18,1403715887.484058,22
18,1403715887.484058,22
18,1403715887.484058,22
18,1403715887.484058,22
18,1403715887.484058,22
18,1403715887.484058,22
18,1403715887.484058,22
18,1403715887.484058,22
18,1403715887.484058,22
18,1403715887.484058,22
