timestamp,fov_mean,fov_std
0,22.000,0.000
1,22.000,0.000
2,22.000,0.000
3,22.000,0.000
4,22.000,0.000
5,22.000,0.000
6,22.000,0.000
7,22.000,0.000
8,22.000,0.000
9,22.000,0.000
10,22.000,0.000
11,22.000,0.000
12,22.000,0.000
13,22.000,0.000
14,22.000,0.000
15,22.000,0.000
16,22.000,0.000
17,22.000,0.000
18,22.000,0.000
19,22.000,0.000
20,22.000,0.000
21,22.000,0.000
22,22.000,0.000
23,22.000,0.000
24,22.000,0.000
25,22.000,0.000
26,22.000,0.000
27,22.000,0.000
28,22.000,0.000
29,22.000,0.000
30,22.000,0.000
31,22.000,0.000
32,22.000,0.000
33,22.000,0.000
34,22.000,0.000
35,22.000,0.000
36,22.000,0.000
37,22.000,0.000
38,22.000,0.000
39,22.000,0.000
40,22.000,0.000
41,22.000,0.000
42,22.000,0.000
43,22.000,0.000
44,22.000,0.000
45,22.000,0.000
46,22.000,0.000
47,22.000,0.000
48,22.000,0.000
49,22.000,0.000
50,22.000,0.000
51,22.000,0.000
52,22.000,0.000
53,22.000,0.000
54,22.000,0.000
55,22.000,0.000
56,22.000,0.000
57,22.000,0.000
58,22.000,0.000
59,22.000,0.000
60,22.000,0.000
61,22.000,0.000
62,22.000,0.000
63,22.000,0.000
64,22.000,0.000
65,22.000,0.000
66,22.000,0.000
67,22.000,0.000
68,22.000,0.000
69,22.000,0.000
70,22.000,0.000
71,22.000,0.000
72,22.000,0.000
73,22.000,0.000
74,22.000,0.000
75,22.000,0.000
76,22.000,0.000
77,22.000,0.000
78,22.000,0.000
79,22.000,0.000
80,22.000,0.000
81,22.000,0.000
82,22.000,0.000
83,22.000,0.000
84,22.000,0.000
85,22.000,0.000
86,22.000,0.000
87,22.000,0.000
88,22.000,0.000
89,22.000,0.000
90,22.000,0.000
91,22.000,0.000
92,22.000,0.000
93,22.000,0.000
94,22.000,0.000
95,22.000,0.000
96,22.000,0.000
97,22.000,0.000
98,22.000,0.000
99,22.000,0.000
100,22.000,0.000
101,22.000,0.000
102,22.000,0.000
103,22.000,0.000
104,22.000,0.000
105,22.000,0.000
106,22.000,0.000
107,22.000,0.000
108,22.000,0.000
109,22.000,0.000
110,22.000,0.000
111,22.000,0.000
112,20.500,3.171
113,21.300,2.214
114,21.200,2.530
115,19.100,3.755
116,21.200,2.530
117,19.900,3.381
118,22.000,0.000
119,22.000,0.000
120,22.000,0.000
121,21.300,2.214
122,21.300,2.214
123,21.300,2.214
124,22.000,0.000
125,22.000,0.000
126,19.200,3.615
127,18.900,4.012
128,21.200,2.530
129,20.400,3.373
130,22.000,0.000
131,22.000,0.000
132,18.300,3.917
133,20.600,2.951
134,19.900,3.381
135,19.700,3.713
136,19.100,3.755
137,22.000,0.000
138,18.200,4.022
139,21.300,2.214
140,19.000,3.887
141,18.300,3.917
142,20.600,2.951
143,16.500,3.808
144,22.000,0.000
145,19.800,3.553
146,22.000,0.000
147,21.300,2.214
148,19.000,3.887
149,19.900,3.381
150,19.700,3.713
151,20.500,3.171
152,21.300,2.214
153,19.000,3.887
154,22.000,0.000
155,22.000,0.000
156,22.000,0.000
157,22.000,0.000
158,21.300,2.214
159,22.000,0.000
160,21.200,2.530
161,22.000,0.000
162,20.500,3.171
163,21.300,2.214
164,20.500,3.171
165,21.300,2.214
166,19.800,3.553
167,20.500,3.171
168,19.700,3.713
169,19.100,3.755
170,21.200,2.530
171,19.800,3.553
172,19.600,3.864
173,22.000,0.000
174,22.000,0.000
175,20.500,3.171
176,21.300,2.214
177,22.000,0.000
178,19.700,3.713
179,22.000,0.000
180,22.000,0.000
