timestamp,fov_mean,fov_std
0,22.000,0.000
1,22.000,0.000
2,22.000,0.000
3,22.000,0.000
4,22.000,0.000
5,21.100,2.846
6,21.200,2.530
7,19.000,3.916
8,21.200,2.530
9,19.000,3.887
10,17.400,3.978
11,18.100,4.122
12,20.500,3.171
13,20.400,3.406
14,21.200,2.530
15,21.200,2.530
16,21.300,2.214
17,22.000,0.000
18,19.800,3.553
19,19.900,3.381
20,19.400,4.222
21,19.500,4.035
22,18.200,4.022
23,19.600,3.893
24,17.400,4.006
25,21.200,2.530
26,17.900,4.408
27,17.400,4.006
28,14.900,2.601
29,16.800,4.517
30,18.400,4.671
31,17.900,4.383
32,18.500,4.552
33,16.500,4.767
34,15.000,3.771
35,19.500,4.035
36,14.900,3.814
37,13.100,0.876
38,15.700,4.448
39,14.800,3.910
40,14.700,3.889
41,16.300,4.084
42,16.800,4.541
43,14.700,3.974
44,15.200,3.706
45,13.900,3.035
46,14.200,2.860
47,15.600,4.477
48,14.500,2.838
49,13.800,1.135
50,15.700,4.498
51,18.600,4.402
52,16.700,4.644
53,15.700,4.448
54,13.300,3.093
55,14.000,2.944
56,16.500,4.859
57,14.200,4.185
58,15.300,4.739
59,16.000,5.185
60,13.200,3.190
61,17.300,4.990
62,16.200,5.116
63,16.100,5.131
64,14.200,4.290
65,14.100,4.280
66,14.800,5.029
67,17.100,5.238
68,15.800,5.371
69,15.900,5.280
70,22.000,0.000
71,22.000,0.000
72,19.800,4.662
73,15.700,5.438
74,14.800,4.984
75,14.700,5.056
76,16.900,5.405
77,12.200,1.317
78,12.500,1.509
79,12.600,1.174
80,14.100,2.923
81,13.300,3.433
82,14.100,2.885
83,15.600,4.600
84,13.500,3.240
85,12.800,1.135
86,14.900,3.843
87,14.500,4.007
88,14.200,4.237
89,14.400,4.169
90,14.200,4.341
91,14.100,4.306
92,11.700,0.949
93,14.300,4.138
94,12.600,3.471
95,17.200,5.203
96,13.100,3.315
97,14.000,4.372
98,15.000,4.899
99,19.100,4.677
100,13.700,4.448
101,15.600,5.562
102,16.600,5.719
103,16.700,5.618
104,17.600,5.700
105,16.700,5.638
106,16.700,5.618
107,18.800,5.181
108,18.800,5.181
109,18.100,5.087
110,17.900,5.301
111,15.800,5.350
112,15.800,5.350
113,17.900,5.322
114,16.000,5.185
115,13.300,3.234
116,12.600,1.350
117,13.300,3.129
118,14.500,3.979
119,14.300,4.191
120,13.500,3.206
121,13.900,4.383
122,13.300,3.164
123,14.200,4.290
124,14.200,4.211
125,14.300,4.111
126,13.900,4.383
127,11.800,0.789
128,11.600,1.265
129,12.300,1.160
130,11.800,1.229
131,11.800,1.135
132,12.700,3.302
133,12.800,3.393
134,12.300,1.337
135,12.800,3.327
136,12.000,0.943
137,13.900,4.458
138,14.800,5.138
139,12.500,3.375
140,12.400,1.174
141,12.400,3.502
142,11.300,0.675
143,12.300,3.498
144,11.400,0.843
145,13.600,4.502
146,11.100,0.876
147,13.300,4.620
148,11.200,0.632
149,15.500,5.642
150,12.400,3.596
151,13.000,3.333
152,12.200,3.521
153,11.300,0.823
154,10.900,0.738
155,11.000,0.943
156,14.700,5.143
157,11.700,1.252
158,12.700,3.401
159,12.400,3.565
160,15.000,5.011
161,13.600,4.477
162,12.800,3.327
163,14.500,5.276
164,15.500,5.622
165,13.100,3.414
166,12.600,3.534
167,12.100,3.573
168,11.100,0.738
169,13.200,4.709
170,13.500,4.577
171,14.500,5.212
172,11.700,1.160
173,13.600,4.526
174,13.000,4.807
175,11.000,0.816
176,10.900,0.876
177,11.000,0.816
178,13.100,4.748
179,11.900,3.604
180,13.100,4.748
