timestamp,fov_mean,fov_std
0,22.000,0.000
1,22.000,0.000
2,22.000,0.000
3,22.000,0.000
4,22.000,0.000
5,22.000,0.000
6,22.000,0.000
7,22.000,0.000
8,22.000,0.000
9,22.000,0.000
10,22.000,0.000
11,22.000,0.000
12,22.000,0.000
13,22.000,0.000
14,22.000,0.000
15,22.000,0.000
16,22.000,0.000
17,22.000,0.000
18,22.000,0.000
19,22.000,0.000
20,22.000,0.000
21,22.000,0.000
22,22.000,0.000
23,22.000,0.000
24,22.000,0.000
25,22.000,0.000
26,22.000,0.000
27,22.000,0.000
28,22.000,0.000
29,22.000,0.000
30,22.000,0.000
31,22.000,0.000
32,22.000,0.000
33,22.000,0.000
34,22.000,0.000
35,22.000,0.000
36,22.000,0.000
37,22.000,0.000
38,22.000,0.000
39,22.000,0.000
40,22.000,0.000
41,22.000,0.000
42,22.000,0.000
43,22.000,0.000
44,22.000,0.000
45,22.000,0.000
46,22.000,0.000
47,22.000,0.000
48,22.000,0.000
49,22.000,0.000
50,22.000,0.000
51,22.000,0.000
52,22.000,0.000
53,22.000,0.000
54,22.000,0.000
55,22.000,0.000
56,22.000,0.000
57,22.000,0.000
58,22.000,0.000
59,22.000,0.000
60,22.000,0.000
61,22.000,0.000
62,22.000,0.000
63,22.000,0.000
64,22.000,0.000
65,22.000,0.000
66,22.000,0.000
67,22.000,0.000
68,22.000,0.000
69,22.000,0.000
70,22.000,0.000
71,22.000,0.000
72,22.000,0.000
73,22.000,0.000
74,22.000,0.000
75,22.000,0.000
76,22.000,0.000
77,22.000,0.000
78,22.000,0.000
79,22.000,0.000
80,22.000,0.000
81,22.000,0.000
82,22.000,0.000
83,22.000,0.000
84,22.000,0.000
85,22.000,0.000
86,22.000,0.000
87,22.000,0.000
88,22.000,0.000
89,22.000,0.000
90,22.000,0.000
91,22.000,0.000
92,22.000,0.000
93,22.000,0.000
94,22.000,0.000
95,22.000,0.000
96,22.000,0.000
97,22.000,0.000
98,22.000,0.000
99,22.000,0.000
100,22.000,0.000
101,22.000,0.000
102,22.000,0.000
103,22.000,0.000
104,22.000,0.000
105,22.000,0.000
106,22.000,0.000
107,22.000,0.000
108,22.000,0.000
109,22.000,0.000
110,22.000,0.000
111,21.300,2.214
112,20.600,2.951
113,19.800,3.553
114,19.700,3.713
115,19.100,3.755
116,20.500,3.171
117,19.600,3.864
118,20.500,3.171
119,19.100,3.755
120,22.000,0.000
121,20.500,3.171
122,20.500,3.171
123,19.000,3.887
124,17.600,3.806
125,17.000,3.464
126,22.000,0.000
127,19.000,3.887
128,19.000,3.887
129,19.700,3.713
130,17.100,3.381
131,22.000,0.000
132,18.200,4.022
133,18.200,4.022
134,21.200,2.530
135,19.100,3.755
136,21.200,2.530
137,18.100,4.122
138,22.000,0.000
139,20.500,3.171
140,19.700,3.713
141,20.600,2.951
142,18.300,3.917
143,19.900,3.381
144,19.600,3.864
145,19.000,3.887
146,19.900,3.381
147,18.700,4.322
148,19.800,3.553
149,19.200,3.615
150,19.800,3.553
151,21.200,2.530
152,19.100,3.755
153,20.600,2.951
154,21.200,2.530
155,20.400,3.373
156,15.800,3.293
157,19.800,3.553
158,19.000,3.887
159,18.900,4.012
160,19.100,3.755
161,19.000,3.887
162,20.600,2.951
163,18.800,4.131
164,20.500,3.171
165,18.900,4.012
166,18.900,4.012
167,20.400,3.373
168,18.200,4.022
169,22.000,0.000
170,18.800,4.131
171,20.500,3.171
172,18.400,3.806
173,19.900,3.381
174,20.400,3.373
175,21.200,2.530
176,21.200,2.530
177,19.800,3.553
178,20.500,3.171
179,18.200,4.022
180,18.300,3.917
