timestamp,fov_mean,fov_std
0,22.000,0.000
1,22.000,0.000
2,22.000,0.000
3,22.000,0.000
4,22.000,0.000
5,22.000,0.000
6,22.000,0.000
7,22.000,0.000
8,22.000,0.000
9,22.000,0.000
10,22.000,0.000
11,21.300,2.214
12,22.000,0.000
13,21.300,2.214
14,22.000,0.000
15,22.000,0.000
16,22.000,0.000
17,22.000,0.000
18,22.000,0.000
19,21.300,2.214
20,22.000,0.000
21,22.000,0.000
22,22.000,0.000
23,22.000,0.000
24,21.200,2.530
25,22.000,0.000
26,21.300,2.214
27,22.000,0.000
28,22.000,0.000
29,19.000,3.887
30,22.000,0.000
31,22.000,0.000
32,20.500,3.171
33,22.000,0.000
34,21.200,2.530
35,21.300,2.214
36,21.300,2.214
37,21.300,2.214
38,21.300,2.214
39,21.300,2.214
40,19.800,3.553
41,22.000,0.000
42,21.200,2.530
43,22.000,0.000
44,20.600,2.951
45,21.300,2.214
46,20.600,2.951
47,22.000,0.000
48,21.300,2.214
49,22.000,0.000
50,21.300,2.214
51,19.100,3.755
52,21.300,2.214
53,22.000,0.000
54,22.000,0.000
55,18.200,4.022
56,21.200,2.530
57,21.200,2.530
58,18.800,4.131
59,22.000,0.000
60,22.000,0.000
61,22.000,0.000
62,22.000,0.000
63,22.000,0.000
64,22.000,0.000
65,19.200,3.615
66,19.100,3.755
67,19.700,3.713
68,19.200,3.615
69,22.000,0.000
70,16.100,3.143
71,20.500,3.171
72,18.300,3.917
73,18.400,3.806
74,16.000,3.197
75,19.600,3.864
76,18.100,4.175
77,20.300,3.592
78,19.500,4.035
79,19.500,4.035
80,20.500,3.171
81,18.800,4.131
82,19.000,3.887
83,18.000,4.243
84,19.600,3.893
85,17.300,4.057
86,18.800,4.158
87,19.700,3.713
88,19.700,3.743
89,19.600,3.893
90,20.400,3.373
91,20.400,3.373
92,19.100,3.755
93,22.000,0.000
94,22.000,0.000
95,20.300,3.592
96,19.000,3.887
97,21.200,2.530
98,16.400,3.893
99,17.500,3.923
100,16.700,3.713
101,17.300,4.057
102,18.800,4.158
103,18.100,4.122
104,16.200,4.022
105,18.500,4.528
106,19.500,4.035
107,22.000,0.000
108,17.300,4.057
109,18.800,4.158
110,20.300,3.592
111,19.300,4.347
112,17.200,4.185
113,18.600,4.402
114,17.500,3.894
115,16.000,4.216
116,20.600,2.951
117,18.100,4.149
118,21.300,2.214
119,18.800,4.131
120,22.000,0.000
121,18.900,4.012
122,22.000,0.000
123,17.700,4.596
124,19.700,3.713
125,18.800,4.211
126,19.000,3.887
127,17.200,4.211
128,16.500,3.866
129,19.600,3.893
130,15.400,3.565
131,17.100,4.254
132,17.000,4.346
133,17.700,4.572
134,17.100,4.254
135,19.400,4.195
136,19.300,4.347
137,20.400,3.373
138,21.100,2.846
139,20.200,3.795
140,19.300,4.347
141,17.000,4.320
142,14.600,2.716
143,16.600,3.806
144,16.400,3.893
145,16.300,4.057
146,18.600,4.402
147,21.100,2.846
148,19.600,3.893
149,19.500,4.035
150,20.500,3.171
151,17.200,4.185
152,17.500,3.894
153,15.000,2.625
154,18.700,4.270
155,16.900,4.433
156,16.800,4.517
157,18.800,4.158
158,17.000,4.346
159,17.900,4.408
160,18.500,4.528
161,18.600,4.402
162,17.700,4.572
163,21.100,2.846
164,19.600,3.893
165,19.500,4.089
166,15.300,3.592
167,17.400,4.033
168,17.600,4.671
169,17.700,4.547
170,18.100,4.175
171,14.900,3.843
172,15.600,3.534
173,15.900,4.280
174,18.800,4.131
175,17.200,4.185
176,18.100,4.122
177,19.000,3.916
178,17.200,5.613
179,18.000,4.269
180,19.600,3.893
